Include,Block,Lot,Qual,Address,Class,Bldg,Type,Design,VCS,Zoning,Location,Special Region,Category,Sale Date,$ Sale Price,Acres,$/Acre,Package,Notes
N,1077,1.02,,10 MILL CREEK COURT,2,35,30,08,BCCD,RMF,,Normal,pre-construction,2024-09-16,"$369,000",0,,N,SALE OF NEW CONSTRUCTION
N,1077,1.02,,34 MILL CREEK COURT,2,35,30,08,BCCD,RMF,,Normal,pre-construction,2023-12-15,"$356,200",0,,N,SALE OF NEW CONSTRUCTION
N,1077,1.02,,40 MILL CREEK COURT,2,35,30,08,BCCD,RMF,,Normal,pre-construction,2023-12-19,"$347,230",0,,N,SALE OF NEW CONSTRUCTION
Y,1097,21,,149 SHERMAN AVE,2,17,10,03,BYVL,R100,,Normal,pre-construction,2022-01-11,"$120,000",0.28,"$541,271",N,SALE OF LAND BEFORE HOUSE WAS BUILT
N,1128,1,,OCEAN GATE AVE,1,10,,,BYVL,PPC,,Normal,building_lot,2021-07-26,"$370,000",0.23,"$2,426,474",N,SHERRIF SALE
N,1185,4271,,AVALON AVE,1,10,,,RVBK,R50,,Normal,raw_land,2025-03-10,"$10,000",0.09,"$111,122",N,SALE NU 19
N,1185,4280.01,,8 AVALON AVE,1,16,10,03,RVBK,R50,,Normal,building_lot,2021-05-25,"$140,000",0.14,"$1,508,350",N,PRIOR SALE FOR VACANT LOT
Y,1215,62,,51 GOOD LUCK DRIVE,2,17,10,03,BYVL,R64,,Normal,pre-construction,2021-09-23,"$200,000",0.15,"$2,011,133",N,SALE OF VACANT LOT PRIOR TO HOUSE BEING BUILT
N,1215,62,,51 GOOD LUCK DRIVE,2,17,10,03,BYVL,R64,,Normal,pre-construction,2021-05-14,"$155,000",0.15,"$1,558,627",N,PRIOR SALE OF VACANT LOT
N,1219.03,11,,30 BOWSPRIT DR,1,10,00,00,BVLF,R60,,Lagoon Front,teardown,2022-04-14,"$824,549",0.14,"$7,438,414",N,VACANT LOT WT BULKHEAD HAD HOUSE ON PROPERTY
Y,1221.04,17,,1 DRAKE DR,2,17,10,02,BVLF,R50,,Lagoon Front,pre-construction,2022-11-04,"$235,000",0.19,"$1,562,089",N,SALE OF VACANT LOT PRIOR TO HOUSE BEING BUILT
N,1221.04,17,,1 DRAKE DR,2,17,10,02,BVLF,R50,,Lagoon Front,pre-construction,2021-07-08,"$150,000",0.19,"$1,190,800",N,PRIOR VACANT LOT SALE
N,1247,8.17,,5 MELINDA CT.,2,17,10,02,BYVL,R100,,Normal,pre-construction,2024-04-30,"$706,900",0.32,"$2,340,450",N,SALE OF NEW CONSTRUCTION
N,1247,8.32,,539 ROUTE 9,1,10,00,00,BYVL,R100,,Normal,commercial_land,2024-12-11,"$4,550,000",7.18,"$671,395",N,COMM LAND OR  LOT FOR NEW SUBDIVISION DEVELOPMENT 
N,1256,9,,NEWARK AVE,1,10,,,BYVL,R100,,Normal,raw_land,2023-05-31,"$155,000",0.52,"$340,937",N,VACANT LAND SOLD TO DEVELOPER
N,1278,67.01,,1 NOBLES WAY,1,10,,,BYVL,R100,,Normal,building_lot,2021-12-10,"$600,000",0.25,"$3,620,036",N,PACKAGE DEAL FOR NEW DEVELOPMENT
N,1278,67.02,,3 NOBLES WAY,1,10,,,BYVL,R100,,Normal,building_lot,2021-12-10,"$600,000",0.25,"$3,620,036",N,PACKAGE DEAL FOR NEW DEVELOPMENT
N,1278,67.03,,5 NOBLES WAY,1,10,,,BYVL,R100,,Normal,building_lot,2021-12-10,"$600,000",0.26,"$3,480,804",N,PACKAGE DEAL FOR NEW DEVELOPMENT
N,1278,67.04,,7 NOBLES WAY,1,10,,,BYVL,R100,,Normal,building_lot,2021-12-10,"$600,000",0.27,"$3,351,885",N,PACKAGE DEAL FOR NEW DEVELOPMENT
N,1278,67.05,,9 NOBLES WAY,1,10,,,BYVL,R100,,Normal,building_lot,2021-12-10,"$600,000",0.31,"$2,919,384",N,PACKAGE DEAL FOR NEW DEVELOPMENT
N,1278.01,1,,2 NOBLES WAY,1,10,,,BYVL,R100,,Normal,building_lot,2021-12-10,"$600,000",0.27,"$3,351,885",N,PACKAGE DEAL FOR NEW DEVELOPMENT
N,1278.01,2,,4 NOBLES WAY,1,10,,,BYVL,R100,,Normal,building_lot,2021-12-10,"$600,000",0.34,"$2,661,791",N,PACKAGE DEAL FOR NEW DEVELOPMENT
N,1278.01,3,,6 NOBLES WAY,1,10,,,BYVL,R100,,Normal,building_lot,2021-12-10,"$600,000",0.3,"$3,016,697",N,PACKAGE DEAL FOR NEW DEVELOPMENT
N,1278.01,4,,8 NOBLES WAY,1,10,,,BYVL,R100,,Normal,building_lot,2021-12-10,"$600,000",0.27,"$3,351,885",N,PACKAGE DEAL FOR NEW DEVELOPMENT
N,1278.01,5,,10 NOBLES WAY,1,10,,,BYVL,R100,,Normal,building_lot,2021-12-10,"$600,000",0.24,"$3,770,871",N,PACKAGE DEAL FOR NEW DEVELOPMENT
N,1278.01,6,,58 SLOOP CREEK RD,1,10,00,00,BYVL,R100,,Normal,building_lot,2021-12-10,"$600,000",0.31,"$2,919,384",N,PACKAGE DEAL FOR NEW DEVELOPMENT
N,1278.01,7,,NOBLES WAY,1,10,,,BYVL,R100,,Normal,building_lot,2021-12-10,"$600,000",0,,N,PACKAGE DEAL FOR NEW DEVELOPMENT
N,1302,1,,OAK PL,1,10,,,BYVL,CR,,Normal,building_lot,2023-08-14,"$13,900",0.41,"$38,778",N,SOLD FROM TOWN 
N,1337,12,,RIVERSIDE DR,1,10,,,HLPK,R100,,Normal,raw_land,2024-12-12,"$14,500",0.14,"$109,736",N,NU19 
N,1337,47,,HAWK AVE,1,10,,,HLPK,R100,,Normal,raw_land,2025-02-11,"$15,000",0.14,"$107,143",N,NONCONFORMING PRIOR SALE
